a52dec 0.8.0-2
aalib 1.4rc5-17
abseil-cpp 20240116.1-1
acl 2.3.2-1
acpi 1.7-3
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-1
adwaita-cursors 46.0-1
adwaita-icon-theme 46.0-1
alembic 1.8.6-1
alsa-card-profiles 1:1.0.4-3
alsa-lib 1.2.11-1
alsa-plugins 1:1.2.7.1-2
alsa-topology-conf 1.2.5.1-3
alsa-ucm-conf 1.2.11-1
ansible 9.4.0-1
ansible-core 2.16.5-1
aom 3.8.2-1
appstream 1.0.2-1
apr 1.7.4-1
apr-util 1.6.3-1
arch-install-scripts 28-1
archlinux-keyring 20240313-1
ardour 8.4-1
arduino-cli 0.35.2-1
argon2 20190702-5
aribb24 1.0.3-3
artyfx 1.3.1-2
at-spi2-core 2.52.0-1
atkmm 2.28.4-1
attr 2.5.2-1
aubio 0.4.9-16
audiofile 0.3.6-8
audit 4.0.1-2
authy 2.5.0-1
authy-debug 2.5.0-1
autoconf 2.72-1
automake 1.16.5-2
avahi 1:0.8+r194+g3f79789-1
aws-cli-v2 2.15.19-1
babl 0.1.108-1
base 3-2
base-devel 1-1
bash 5.2.026-2
bcg729 1.1.1-1
bchoppr 1.12.6-1
binutils 2.42-2
bison 3.8.2-6
bitwarden 2024.3.0-1
bitwarden-cli 2024.2.1-1
bitwig-studio 5.1.6-1
blas 3.12.0-3
blender 17:4.1.0-2
blosc 1.21.5-1
bluez 5.73-4
bluez-libs 5.73-4
bluez-utils 5.73-4
boost 1.83.0-5
boost-libs 1.83.0-5
botan2 2.19.3-1
box2d 2.4.1-2
breezy 3.3.5-1
brotli 1.1.0-1
bshapr 0.13-2
bslizr 1.2.16-2
bullet-dp 3.25-3
butler 15.21.0-3
butler-debug 15.21.0-3
bzip2 1.0.8-6
c-ares 1.27.0-1
ca-certificates 20220905-1
ca-certificates-mozilla 3.99-1
ca-certificates-utils 20220905-1
cabextract 1.11-1
cairo 1.18.0-2
cairomm 1.14.5-1
calf 0.90.3-6
cantarell-fonts 1:0.303.1-1
capstone 5.0.1-2
carla 2.5.8-1
cblas 3.12.0-3
cdparanoia 10.2-9
cdrtools 3.02a09-5
chromaprint 1.5.1-7
cifs-utils 7.0-3
clang 17.0.6-1
clazy 1.11-5
clucene 2.3.3.4-14
cmake 3.29.0-1
code 1.87.2-1
compiler-rt 17.0.6-1
coreutils 9.5-1
cppdap 1.58.0-1
cryptsetup 2.7.1-1
curl 8.7.1-3
dav1d 1.4.1-1
db5.3 5.3.28-4
dbus 1.14.10-2
dbus-broker 35-2
dbus-broker-units 35-2
dbus-glib 0.112-3
dconf 0.40.0-2
debtap 3.5.1-1
debugedit 5.0-5
default-cursors 2-1
desktop-file-utils 0.27-1
device-mapper 2.03.23-3
devtools 1:1.1.1-1
dexed 0.9.6.r90.g9e01c0c-1
dexed-clap 0.9.6.r90.g9e01c0c-1
dexed-docs 0.9.6.r90.g9e01c0c-1
dexed-standalone 0.9.6.r90.g9e01c0c-1
dexed-vst3 0.9.6.r90.g9e01c0c-1
dhcpcd 10.0.6-1
diffutils 3.10-1
dkms 3.0.12-1
dmenu 5.3-1
dnssec-anchors 20190629-3
dos2unix 7.5.2-1
dosfstools 4.2-3
dotnet-host 8.0.3.sdk103-1
dotnet-runtime 8.0.3.sdk103-1
double-conversion 3.3.0-1
draco 1.5.6-2
dragonfly-reverb 3.2.10-2
dragonfly-reverb-clap 3.2.10-2
dragonfly-reverb-lv2 3.2.10-2
dragonfly-reverb-standalone 3.2.10-2
dragonfly-reverb-vst 3.2.10-2
dragonfly-reverb-vst3 3.2.10-2
drumkv1 0.9.34-1
drumkv1-lv2 0.9.34-1
drumkv1-standalone 0.9.34-1
dtc 1.7.0-4
duktape 2.7.0-6
e2fsprogs 1.47.0-2
ecasound 2.9.3-9
edk2-ovmf 202311-1
efibootmgr 18-3
efivar 39-1
electron27 27.3.8-1
electron28 28.2.9-1
ell 0.64-1
embree 4.3.1-1
enchant 2.6.5-1
exiv2 0.28.2-2
expat 2.6.2-1
faac 1.30-4
faad2 2.11.1-1
fabla 1.4-1
fakeroot 1.34-1
ffmpeg 2:6.1.1-7
ffmpeg4.4 4.4.4-5
fftw 3.3.10-6
file 5.45-1
filesystem 2024.01.19-1
findutils 4.9.0-3
firefox 124.0.1-1
firefox-ublock-origin 1.57.0-1
flac 1.4.3-1
flex 2.6.4-5
fluidsynth 2.3.4-1
fontconfig 2:2.15.0-2
fontforge 20230101-3
freeglut 3.4.0-1
freetype2 2.13.2-1
freeverb3 3.2.1-4
fribidi 1.0.13-2
ftgl 2.4.0-2
fuse-common 3.16.2-1
fuse2 2.9.9-4
fuse3 3.16.2-1
fzf 0.48.1-1
gamescope 3.14.2-1
gawk 5.3.0-1
gc 8.2.6-1
gcc 13.2.1-5
gcc-ada 13.2.1-5
gcc-libs 13.2.1-5
gd 2.3.3-7
gdbm 1.23-2
gdk-pixbuf2 2.42.10-2
gegl 0.4.48-1
gettext 0.22.4-1
giflib 5.2.2-1
gimp 2.10.36-5
git 2.44.0-1
glew 2.2.0-6
glew1.10 1.10.0-3
glfw 3.4-2
glib-networking 1:2.80.0-1
glib2 2.80.0-2
glibc 2.39-1
glibmm 2.66.7-1
glm 1.0.0-1
glslang 14.0.0-2
glu 9.0.3-1
gmp 6.3.0-1
gnu-free-fonts 20120503-8
gnupg 2.4.5-1
