a-sid 1.0.4-2
a52dec 0.8.0-2
aalib 1.4rc5-17
abseil-cpp 20240116.1-1
acl 2.3.2-1
acpi 1.7-3
acpilight 1.2-2
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-1
adwaita-cursors 46.0-1
adwaita-icon-theme 46.0-1
alembic 1.8.6-1
alsa-card-profiles 1:1.0.4-3
alsa-lib 1.2.11-1
alsa-plugins 1:1.2.7.1-2
alsa-topology-conf 1.2.5.1-3
alsa-ucm-conf 1.2.11-1
alsa-utils 1.2.11-1
ambix 0.2.10-4
ambix-lv2 0.2.10-4
ambix-standalone 0.2.10-4
ambix-vst 0.2.10-4
ams-lv2 1.2.2-4
ansible 9.4.0-1
ansible-core 2.16.5-1
aom 3.8.2-1
appstream 1.0.2-1
archlinux-keyring 20240313-1
ardour 8.4-1
arduino 1:1.8.19-2
arduino-builder 1.6.1-2
arduino-cli 0.35.2-1
arduino-ctags 5.8_arduino11-4
argon2 20190702-5
argtable 2.13-5
aribb24 1.0.3-3
arpack 3.9.1-2
artyfx 1.3.1-2
assimp 5.3.1-2
at-spi2-core 2.52.0-1
atkmm 2.28.4-1
attr 2.5.2-1
aubio 0.4.9-16
audiofile 0.3.6-8
audit 4.0.1-2
authy 2.2.2-1
autoconf 2.72-1
automake 1.16.5-2
avahi 1:0.8+r194+g3f79789-1
avldrums.lv2 0.7.2-1
aws-c-auth 0.7.1-1
aws-c-cal 0.6.1-1
aws-c-common 0.9.0-1
aws-c-compression 0.2.17-1
aws-c-event-stream 0.3.1-1
aws-c-http 0.7.11-1
aws-c-io 0.13.30-1
aws-c-mqtt 0.8.14-1
aws-c-s3 0.3.14-1
aws-c-sdkutils 0.1.12-1
aws-checksums 0.1.17-1
aws-cli-v2 2.15.19-1
ayatana-ido 0.10.1-1
babl 0.1.108-1
baobab 46.0-1
base 3-2
base-devel 1-1
bash 5.2.026-2
bc 1.07.1-4
bcg729 1.1.1-1
bchoppr 1.12.6-1
bettercap 2.32.0-2
binutils 2.42-2
bison 3.8.2-6
bitwarden 2024.3.0-1
bitwarden-cli 2024.2.1-1
bitwig-studio 4.4.8-1
blas 3.12.0-3
blender 17:4.1.0-2
blosc 1.21.5-1
bluez 5.73-4
bluez-libs 5.73-4
bluez-utils 5.73-4
boost 1.83.0-5
boost-libs 1.83.0-5
botan 3.3.0-1
botan2 2.19.3-1
box2d 2.4.1-2
bridge-utils 1.7.1-2
brltty 6.6-6
brotli 1.1.0-1
brscan-skey 0.3.1_2-2
bshapr 0.13-2
bslizr 1.2.16-2
bubblewrap 0.8.0-1
bzip2 1.0.8-6
c-ares 1.27.0-1
ca-certificates 20220905-1
ca-certificates-mozilla 3.99-1
ca-certificates-utils 20220905-1
cabextract 1.11-1
cairo 1.18.0-2
cairomm 1.14.5-1
calf 0.90.3-6
cantarell-fonts 1:0.303.1-1
capstone 5.0.1-2
cblas 3.12.0-3
cdparanoia 10.2-9
cdrtools 3.02a09-5
chromaprint 1.5.1-7
cifs-utils 7.0-3
clang 17.0.6-1
clang15 15.0.7-2
clazy 1.11-5
clucene 2.3.3.4-14
cmake 3.29.0-1
code 1.87.2-1
colord 1.4.7-2
colord-sane 1.4.7-2
compiler-rt 17.0.6-1
compiler-rt15 15.0.7-1
containerd 1.7.14-1
coreutils 9.5-1
cpio 2.15-1
cppdap 1.58.0-1
cronie 1.7.1-1
cryptsetup 2.7.1-1
cups 1:2.4.7-2
cups-filters 2.0.0-1
cups-pdf 3.0.1-7
curl 8.7.1-3
cython 3.0.9-1
dav1d 1.4.1-1
db 6.2.32-1
db5.3 5.3.28-4
dbus 1.14.10-2
dbus-broker 35-2
dbus-broker-units 35-2
dbus-glib 0.112-3
dbus-python 1.3.2-2
dconf 0.40.0-2
debugedit 5.0-5
default-cursors 2-1
desktop-file-utils 0.27-1
device-mapper 2.03.23-3
dexed 0.9.6.r90.g9e01c0c-1
dexed-clap 0.9.6.r90.g9e01c0c-1
dexed-docs 0.9.6.r90.g9e01c0c-1
dexed-standalone 0.9.6.r90.g9e01c0c-1
dexed-vst3 0.9.6.r90.g9e01c0c-1
dhcpcd 10.0.6-1
diffutils 3.10-1
distrho-ports 2021.03.15-3
distrho-ports-lv2 2021.03.15-3
distrho-ports-vst 2021.03.15-3
distrho-ports-vst3 2021.03.15-3
dmenu 5.3-1
dnssec-anchors 20190629-3
docker 1:26.0.0-1
docker-compose 2.26.1-1
dos2unix 7.5.2-1
dosfstools 4.2-3
dotconf 1.3-7
double-conversion 3.3.0-1
doxygen 1.10.0-3
dpf-plugins-lv2 1.7-1
dpkg 1.22.5-1
draco 1.5.6-2
dragonfly-reverb 3.2.10-2
dragonfly-reverb-clap 3.2.10-2
dragonfly-reverb-lv2 3.2.10-2
dragonfly-reverb-standalone 3.2.10-2
dragonfly-reverb-vst 3.2.10-2
dragonfly-reverb-vst3 3.2.10-2
drumkv1 0.9.34-1
drumkv1-lv2 0.9.34-1
drumkv1-standalone 0.9.34-1
dtc 1.7.0-4
duktape 2.7.0-6
e2fsprogs 1.47.0-2
ecasound 2.9.3-9
edk2-aarch64 202311-1
edk2-arm 202311-1
edk2-ovmf 202311-1
efibootmgr 18-3
efivar 39-1
electron 1:29-1
electron19 19.1.9-5
electron21 21.4.4-1
electron22 22.3.27-5
electron24 24.8.8-2
electron25 25.9.8-1
electron27 27.3.8-1
electron28 28.2.9-1
electron29 29.1.6-1
ell 0.64-1
embree 4.3.1-1
embree3 3.13.5-2
enchant 2.6.5-1
eog 45.3-1
epiphany 46.0-1
eq10q 2.2-5
eteroj.lv2 0.10.0-2
exempi 2.6.5-1
exiv2 0.28.2-2
expat 2.6.2-1
faac 1.30-4
faad2 2.11.1-1
fabla 1.4-1
fakeroot 1.34-1
faudio 24.03-1
ffmpeg 2:6.1.1-7
ffmpeg4.4 4.4.4-5
fftw 3.3.10-6
file 5.45-1
file-roller 44-1
filesystem 2024.01.19-1
findutils 4.9.0-3
firefox 124.0.1-1
firefox-ublock-origin 1.57.0-1
flac 1.4.3-1
flex 2.6.4-5
fltk 1.3.9-1
fluidsynth 2.3.4-1
flutter-engine 1:1.0.1-1
fmt 10.2.0-1
fomp.lv2 1.2.4-2
fontconfig 2:2.15.0-2
freeglut 3.4.0-1
freetype2 2.13.2-1
freeverb3 3.2.1-4
fribidi 1.0.13-2
ftgl 2.4.0-2
fuse-common 3.16.2-1
fuse2 2.9.9-4
fuse3 3.16.2-1
fzf 0.48.1-1
gawk 5.3.0-1
gc 8.2.6-1
gcc 13.2.1-5
gcc-libs 13.2.1-5
gcr 3.41.2-1
gcr-4 4.2.1-2
gd 2.3.3-7
gdb 14.2-1
gdb-common 14.2-1
gdbm 1.23-2
gdk-pixbuf2 2.42.10-2
gegl 0.4.48-1
gendesk 1.0.9-3
geoclue 2.7.1-2
geteltorito 0.6-1
gettext 0.22.4-1
ghostscript 10.03.0-2
giflib 5.2.2-1
gimp 2.10.36-5
git 2.44.0-1
gl2ps 1.4.2-3
glew 2.2.0-6
glfw-x11 3.3.10-1
glib-networking 1:2.80.0-1
glib2 2.80.0-2
glibc 2.39-1
glibmm 2.66.7-1
glpk 5.0-2
glslang 14.0.0-2
glu 9.0.3-1
glusterfs 1:11.1-1
gmp 6.3.0-1
gn 0.2157.22581fb4-1
gnome-desktop 1:44.0-1
gnome-desktop-common 1:44.0-1
gnu-free-fonts 20120503-8
gnupg 2.4.5-1
gnustep-base 1.29.0-3
gnutls 3.8.4-1
go 2:1.22.1-1
gobject-introspection-runtime 1.80.0-1
gparted 1.6.0-1
gperftools 2.15-1
gpgme 1.23.2-1
gpm 1.20.7.r38.ge82d1a6-5
graphene 1.10.8-1
graphicsmagick 1.3.43-1
graphite 1:1.3.14-3
graphviz 10.0.1-1
grep 3.11-1
groff 1.23.0-5
grub 2:2.12-2
gsettings-desktop-schemas 46.0-1
gsfonts 20200910-3
gsl 2.7.1-3
gsm 1.0.22-1
gspell 1.12.2-2
gssdp 1.6.3-1
gst-editing-services 1.24.1-2
gst-libav 1.24.1-2
gst-plugins-bad 1.24.1-2
gst-plugins-bad-libs 1.24.1-2
gst-plugins-base 1.24.1-2
gst-plugins-base-libs 1.24.1-2
gst-plugins-good 1.24.1-2
gst-plugins-ugly 1.24.1-2
gstreamer 1.24.1-2
gtk-update-icon-cache 1:4.14.1-1
gtk-vnc 1.3.1-1
gtk2 2.24.33-3
gtk3 1:3.24.41-1
gtk4 1:4.14.1-1
gtkmm 1:2.24.5-4
gtkmm3 3.24.9-1
gtksourceview4 4.8.4-1
gts 0.7.6.121130-2
guile 3.0.9-1
guitarix 0.46.0-1
gumbo-parser 0.12.1-1
gupnp 1:1.6.6-1
gupnp-av 0.14.1-2
gupnp-dlna 0.12.0-2
gupnp-igd 1.6.0-1
gxplugins.lv2 1.0-1
gzip 1.13-2
harfbuzz 8.4.0-1
harfbuzz-icu 8.4.0-1
hdf5 1.14.3-1
helvum 0.5.1-1
hicolor-icon-theme 0.17-3
hidapi 0.14.0-2
highway 1.1.0-1
http-parser 2.9.4-2
httptoolkit-bin 1.12.2-1
hunspell 1.7.2-1
hwdata 0.380-1
hwloc 2.10.0-1
hyphen 2.8.8-5
iana-etc 20240222-1
icu 74.2-2
ijs 0.35-6
imagemagick 7.1.1.29-2
imath 3.1.11-1
imlib2 1.12.2-2
